"","V1","V2","V3","V4","V5","V6"
"1","14.75","2","100","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"2","63.55","5","100","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"3","28.6","2","500","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"4","100","5","500","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"5","13.6","2","100","-1,0,1","0.25,0.5,0.25","1,1,1"
"6","75.15","5","100","-1,0,1","0.25,0.5,0.25","1,1,1"
"7","36.7","2","500","-1,0,1","0.25,0.5,0.25","1,1,1"
"8","99.95","5","500","-1,0,1","0.25,0.5,0.25","1,1,1"
"9","65.25","2","100","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"10","100","5","100","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"11","100","2","500","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"12","100","5","500","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"13","49.1","2","100","-1,0,1","0.25,0.5,0.25","0.6,1.2,0.6"
"14","100","5","100","-1,0,1","0.25,0.5,0.25","0.6,1.2,0.6"
"15","100","2","500","-1,0,1","0.25,0.5,0.25","0.6,1.2,0.6"
"16","100","5","500","-1,0,1","0.25,0.5,0.25","0.6,1.2,0.6"
"17","79.9","2","100","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"18","100","5","100","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"19","100","2","500","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"20","100","5","500","-1,0,1","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"21","87.6","2","100","-1,0,1","0.25,0.5,0.25","0.6,0.6,1.2"
"22","100","5","100","-1,0,1","0.25,0.5,0.25","0.6,0.6,1.2"
"23","100","2","500","-1,0,1","0.25,0.5,0.25","0.6,0.6,1.2"
"24","100","5","500","-1,0,1","0.25,0.5,0.25","0.6,0.6,1.2"
"25","45.65","2","100","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"26","100","5","100","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"27","98.35","2","500","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"28","100","5","500","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"29","57.2","2","100","-1.5,0,1.5","0.25,0.5,0.25","1,1,1"
"30","100","5","100","-1.5,0,1.5","0.25,0.5,0.25","1,1,1"
"31","99.75","2","500","-1.5,0,1.5","0.25,0.5,0.25","1,1,1"
"32","100","5","500","-1.5,0,1.5","0.25,0.5,0.25","1,1,1"
"33","96.35","2","100","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"34","100","5","100","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"35","100","2","500","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"36","100","5","500","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"37","89.45","2","100","-1.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"38","100","5","100","-1.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"39","100","2","500","-1.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"40","100","5","500","-1.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"41","99.9","2","100","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"42","100","5","100","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"43","100","2","500","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"44","100","5","500","-1.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"45","100","2","100","-1.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
"46","100","5","100","-1.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
"47","100","2","500","-1.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
"48","100","5","500","-1.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
"49","28.65","2","100","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"50","97.15","5","100","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"51","77.7","2","500","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"52","100","5","500","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"53","33","2","100","-1,0,2","0.25,0.5,0.25","1,1,1"
"54","97.85","5","100","-1,0,2","0.25,0.5,0.25","1,1,1"
"55","85.45","2","500","-1,0,2","0.25,0.5,0.25","1,1,1"
"56","100","5","500","-1,0,2","0.25,0.5,0.25","1,1,1"
"57","86.75","2","100","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"58","100","5","100","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"59","100","2","500","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"60","100","5","500","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"61","75.85","2","100","-1,0,2","0.25,0.5,0.25","0.6,1.2,0.6"
"62","100","5","100","-1,0,2","0.25,0.5,0.25","0.6,1.2,0.6"
"63","100","2","500","-1,0,2","0.25,0.5,0.25","0.6,1.2,0.6"
"64","100","5","500","-1,0,2","0.25,0.5,0.25","0.6,1.2,0.6"
"65","91.5","2","100","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"66","100","5","100","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"67","100","2","500","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"68","100","5","500","-1,0,2","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"69","93.7","2","100","-1,0,2","0.25,0.5,0.25","0.6,0.6,1.2"
"70","100","5","100","-1,0,2","0.25,0.5,0.25","0.6,0.6,1.2"
"71","100","2","500","-1,0,2","0.25,0.5,0.25","0.6,0.6,1.2"
"72","100","5","500","-1,0,2","0.25,0.5,0.25","0.6,0.6,1.2"
"73","12","2","100","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"74","21","5","100","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"75","12.35","2","500","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"76","66.1","5","500","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","1,1,1"
"77","11.3","2","100","-0.5,0,1.5","0.25,0.5,0.25","1,1,1"
"78","22.05","5","100","-0.5,0,1.5","0.25,0.5,0.25","1,1,1"
"79","12.4","2","500","-0.5,0,1.5","0.25,0.5,0.25","1,1,1"
"80","69.25","5","500","-0.5,0,1.5","0.25,0.5,0.25","1,1,1"
"81","57.1","2","100","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"82","100","5","100","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"83","99.8","2","500","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"84","100","5","500","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,1.2,0.6"
"85","43.2","2","100","-0.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"86","99.65","5","100","-0.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"87","99.05","2","500","-0.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"88","100","5","500","-0.5,0,1.5","0.25,0.5,0.25","0.6,1.2,0.6"
"89","22.7","2","100","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"90","85.05","5","100","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"91","56.45","2","500","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"92","100","5","500","-0.5,0,1.5","0.333333333333333,0.333333333333333,0.333333333333333","0.6,0.6,1.2"
"93","23.15","2","100","-0.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
"94","82.6","5","100","-0.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
"95","58.7","2","500","-0.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
"96","100","5","500","-0.5,0,1.5","0.25,0.5,0.25","0.6,0.6,1.2"
